D,D,D,D,D,D
Alex Bowman (43667072),Brad Keselowski (43667068),Chase Elliott (43667059),Erik Jones (43667070),Ty Gibbs (43667062),William Byron (43667058)
Brad Keselowski (43667068),Bubba Wallace (43667061),Chase Elliott (43667059),Erik Jones (43667070),Ross Chastain (43667071),Ty Gibbs (43667062)
Alex Bowman (43667072),Brad Keselowski (43667068),Denny Hamlin (43667053),Erik Jones (43667070),Kyle Larson (43667055),Zane Smith (43667080)
Brad Keselowski (43667068),Chase Elliott (43667059),Christopher Bell (43667057),Erik Jones (43667070),Ryan Preece (43667074),Ty Gibbs (43667062)
Alex Bowman (43667072),Bubba Wallace (43667061),Christopher Bell (43667057),Daniel Suarez (43667073),Denny Hamlin (43667053),Zane Smith (43667080)
Alex Bowman (43667072),Brad Keselowski (43667068),Bubba Wallace (43667061),Erik Jones (43667070),Ty Gibbs (43667062),Tyler Reddick (43667056)
Brad Keselowski (43667068),Chase Elliott (43667059),Erik Jones (43667070),Kyle Larson (43667055),Ty Gibbs (43667062),Zane Smith (43667080)
Brad Keselowski (43667068),Bubba Wallace (43667061),Denny Hamlin (43667053),Erik Jones (43667070),Ty Gibbs (43667062),Zane Smith (43667080)
