period,races,rows,qualifying_rank_mae,finish_rank_mae,winner_pick_accuracy,top3_hit_rate,win_brier,top3_brier,points_mae,points_rank_mae
2025,36,1369,7.284149013878744,9.297297297297296,0.22222222222222224,0.2870370370370371,0.024298281231532524,0.06513532146409977,9.243329051149772,8.062819576333089
2026,20,756,7.2592592592592595,8.746031746031745,0.4,0.38333333333333336,0.02286044084831994,0.06311783327408689,9.111127813654232,7.338624338624339
2025–2026,56,2125,7.275294117647059,9.101176470588236,0.2857142857142857,0.3214285714285714,0.02378674837049313,0.06441757037155871,9.196296516774888,7.805176470588235
