season,round,race_name,track_name,projection_variant,lineup_rank,driver_slot,scenario_name,scenario_role,lineup_archetype,scenario_type,scenario_probability,driver_id,driver_name,dk_id,salary,dk_projection,dk_mean_projection,dk_score_p75,dk_score_p90,dk_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,mean_projected_laps_led,mean_projected_fastest_laps,projected_laps_led,projected_fastest_laps,prob_lead_25_plus,prob_lead_50_plus,prob_lead_75_plus,prob_lead_100_plus,prob_lead_150_plus,prob_lead_200_plus,dominator_role,construction_role,lineup_role,punt_role,portfolio_source
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,2,6,primary_denny_hamlin,Primary dominator B,short_balanced_depth,primary_control,0.10546777382506531,riley_herbst,Riley Herbst,43607015,5800,29.103442001603707,29.612740778631913,29.161080549075557,29.190072098138724,5.017834827862708,34,24,1.5501039411252893,2.7226995407790935,0.8348831610509632,1.9882693585354776,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Place-differential value,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,3,1,primary_brad_keselowski,Contrarian dominator ceiling,short_balanced_depth,primary_control,0.018158634645368793,alex_bowman,Alex Bowman,43607007,7000,29.41014453706153,30.20214490490484,29.60094723132162,29.654408791027134,4.201449219580218,25,20,1.5203245271105592,4.049030606949336,0.7593390735654382,2.711799485933707,0,0,0,0,0,0,Supporting scorer,Mid-tier place differential,Mid-tier place differential,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,3,2,primary_brad_keselowski,Contrarian dominator ceiling,short_balanced_depth,primary_control,0.018158634645368793,brad_keselowski,Brad Keselowski,43607003,7600,133.77703125,23.62466290170697,22.880019691781566,22.918637275750694,17.60224095394737,23,22,2.890819425060533,4.226573434315189,226.6875,124.67812500000002,0.018158634645368793,0.018158634645368793,0.018158634645368793,0.018158634645368793,0.018158634645368793,0.018158634645368793,Contrarian dominator ceiling,Mid-tier place differential,Dominator,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,3,3,primary_brad_keselowski,Contrarian dominator ceiling,short_balanced_depth,primary_control,0.018158634645368793,chase_briscoe,Chase Briscoe,43606996,8900,65.95144607520906,71.63626317855348,67.34039215124555,67.4359702037876,7.410274839911131,30,8,27.749532006439495,14.886400393208021,13.859740831578335,9.970024149587756,0.08,0,0,0,0,0,Supporting scorer,Mid-tier place differential,Mid-tier place differential,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,3,4,primary_brad_keselowski,Contrarian dominator ceiling,short_balanced_depth,primary_control,0.018158634645368793,riley_herbst,Riley Herbst,43607015,5800,29.014129042427705,29.612740778631913,29.161080549075557,29.190072098138724,5.00243604179788,34,24,1.5501039411252893,2.7226995407790935,0.7742126563078301,1.8235019518905486,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Place-differential value,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,3,5,primary_brad_keselowski,Contrarian dominator ceiling,short_balanced_depth,primary_control,0.018158634645368793,ryan_blaney,Ryan Blaney,43606989,10700,70.04948689117148,88.85401445135568,124.75624423200091,157.77703125,6.5466810178664945,1,1,101.5097876535123,41.05903897328356,50.699930666209035,27.4988982769316,1,1,0.5640199552281444,0.5640199552281444,0.5640199552281444,0.12401995522814445,Primary dominator A,Dominator candidate,Dominator candidate,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,3,6,primary_brad_keselowski,Contrarian dominator ceiling,short_balanced_depth,primary_control,0.018158634645368793,william_byron,William Byron,43606992,9900,50.894538450492824,57.595636377495765,52.616818048982005,52.61935131439058,5.140862469746749,15,9,28.663768861759312,20.95487591567986,14.31636423951435,14.034327534698306,0.08,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,4,1,primary_ryan_blaney,Primary dominator A,short_stars_two_values,primary_control,0.12401995522814445,alex_bowman,Alex Bowman,43607007,7000,29.60094723132162,30.20214490490484,29.60094723132162,29.654408791027134,4.22870674733166,25,20,1.5203245271105592,4.049030606949336,0.9742238345070655,3.016425050433007,0,0,0,0,0,0,Supporting scorer,Mid-tier place differential,Mid-tier place differential,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,4,2,primary_ryan_blaney,Primary dominator A,short_stars_two_values,primary_control,0.12401995522814445,christopher_bell,Christopher Bell,43606991,10200,73.66688934920947,86.62128257462635,72.871004745097,73.66688934920947,7.222244053844065,3,2,70.26117214478192,57.9021989742908,45.02335345068909,43.13566885897154,1,0.09763587045504236,0.09763587045504236,0.09763587045504236,0.09763587045504236,0.09763587045504236,Primary dominator C,Dominator candidate,Dominator candidate,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,4,3,primary_ryan_blaney,Primary dominator A,short_stars_two_values,primary_control,0.12401995522814445,michael_mcdowell,Michael McDowell,43607011,6400,25.12135982261923,25.905957887338495,25.12135982261923,25.199720357580752,3.9252124722842545,16,18,1.6704653925318622,5.529647864901175,1.0704340889748698,4.119447334167806,0,0,0,0,0,0,Supporting scorer,Finishing-position value,Finishing-position value,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,4,4,primary_ryan_blaney,Primary dominator A,short_stars_two_values,primary_control,0.12401995522814445,riley_herbst,Riley Herbst,43607015,5800,29.161080549075557,29.612740778631913,29.161080549075557,29.190072098138724,5.027772508461303,34,24,1.5501039411252893,2.7226995407790935,0.993306480608909,2.0283420642740686,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Place-differential value,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,4,5,primary_ryan_blaney,Primary dominator A,short_stars_two_values,primary_control,0.12401995522814445,ryan_blaney,Ryan Blaney,43606989,10700,157.77703125,88.85401445135568,124.75624423200091,157.77703125,14.745516939252337,1,1,101.5097876535123,41.05903897328356,226.6875,124.67812500000002,1,1,0.5640199552281444,0.5640199552281444,0.5640199552281444,0.12401995522814445,Primary dominator A,Dominator candidate,Dominator,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,4,6,primary_ryan_blaney,Primary dominator A,short_stars_two_values,primary_control,0.12401995522814445,william_byron,William Byron,43606992,9900,52.616818048982005,57.595636377495765,52.616818048982005,52.61935131439058,5.314830105957778,15,9,28.663768861759312,20.95487591567986,18.367740777687693,15.6108507879113,0.08,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt,leakage_safe_historical_scenario
2026,21,Window World 400,North Wilkesboro Speedway,historical_scenario,5,1,primary_christopher_bell,Primary dominator C,short_balanced_depth,primary_control,0.09763587045504236,alex_bowman,Alex Bowman,43607007,7000,29.654408791027134,30.20214490490484,29.60094723132162,29.654408791027134,4.236344113003876,25,20,1.5203245271105592,4.049030606949336,0.894055192822736,3.1797666507143374,0,0,0,0,0,0,Supporting scorer,Mid-tier place differential,Mid-tier place differential,Not a punt,leakage_safe_historical_scenario
