metric,baseline,adjusted,delta,overlay_rows_applied
finish_position_rmse,10.447365750798395,10.508451740869637,0.06108599007124127,433
points_rmse,11.570596677045764,11.56125248058335,-0.009344196462413024,433
win_log_loss,0.09438580574472422,0.09308563182541595,-0.00130017391930827,433
top3_log_loss,0.22124750248562317,0.2195293521573467,-0.0017181503282764632,433
