period,races,rows,qualifying_rank_mae,finish_rank_mae,winner_pick_accuracy,top3_hit_rate,win_brier,top3_brier,points_mae,points_rank_mae
2025,36,1369,7.462381300219138,9.279766252739226,0.3055555555555555,0.26851851851851855,0.02296929656640224,0.06317090271421526,9.258431788768764,8.054054054054054
2026,20,756,7.761904761904762,8.65079365079365,0.55,0.36666666666666664,0.02213184555032899,0.059872744796423585,9.140047077069289,7.351851851851852
2025–2026,56,2125,7.568941176470588,9.056,0.39285714285714285,0.3035714285714286,0.022671361051978065,0.06199753453263855,9.216314686630032,7.804235294117647
