season,round,race_date,race_name,track_name,driver_name,driver_id,odds_american,odds_decimal,implied_probability,sportsbook,odds_as_of,source_url,market_role,safe_as_model_feature
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Denny Hamlin,denny_hamlin,-165,1.606060606060606,0.6226415094339623,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Tyler Reddick,tyler_reddick,-125,1.8,0.5555555555555556,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Ryan Blaney,ryan_blaney,-105,1.9523809523809523,0.5121951219512195,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Kyle Larson,kyle_larson,-105,1.9523809523809523,0.5121951219512195,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,William Byron,william_byron,120,2.2,0.45454545454545453,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Christopher Bell,christopher_bell,135,2.35,0.425531914893617,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Chase Briscoe,chase_briscoe,135,2.35,0.425531914893617,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Chase Elliott,chase_elliott,160,2.6,0.3846153846153846,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Bubba Wallace,bubba_wallace,200,3,0.3333333333333333,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,Joey Logano,joey_logano,210,3.1,0.3225806451612903,DraftKings,2026-07-23,,production_pre_race_complete_top5_board,TRUE
