model,data_split,rows,win_brier,win_log_loss,win_auc,top3_brier,top3_log_loss,top3_auc,winner_pick_accuracy,top3_pick_hit_rate,mean_win_probability_sum,mean_top3_probability_sum
recency_baseline,test,756,0.02536134905117785,0.16885800172827972,0.7421195652173913,0.06967158393706267,0.28134061726021,0.7592073754789272,0.2,0.21666666666666665,1,3
recency_baseline,train,10943,0.025690619539091197,0.15891084819985268,0.7655277256374159,0.06816031299952054,0.30434926250958444,0.7775044739153282,0.09722222222222222,0.26157407407407407,1,3
routed_consensus,test,756,0.023615275509949296,0.09566835015819845,0.8609375,0.06337760524012881,0.21685402741546841,0.8446120689655172,0.3,0.35,1,3
routed_consensus,train,10943,0.013211264442543898,0.04802728477459134,0.999855962250378,0.04731487942033705,0.15705100255531587,0.9928055629049031,0.9965277777777778,0.8981481481481481,1,3
xgb_drafting_specialist,test,756,0.024923277233396147,0.10399692525070324,0.8299592391304348,0.08219679895096181,0.31412893281524457,0.6821120689655172,0.1,0.09999999999999999,1,3
xgb_drafting_specialist,train,10943,0.02478860025818698,0.11535441318597295,0.7754568799207466,0.06836430156790423,0.2453039728745633,0.7767495581204779,0.1840277777777778,0.2708333333333333,1,3
xgb_no_owner,test,756,0.023708660141480806,0.09504973957298504,0.8695652173913043,0.06435189716828842,0.21911601972631292,0.8388170498084291,0.25,0.39999999999999997,1,3
xgb_no_owner,train,10943,0.01433724611771265,0.051132181543142606,0.999442098128161,0.05268981484683193,0.17255970323296027,0.9746738038018175,0.9965277777777778,0.7314814814814815,1,3
xgb_owner_track,test,756,0.02480662586877188,0.10386221664101251,0.8296875,0.06312266281722016,0.216490464171659,0.8460727969348659,0.25,0.3833333333333333,1,3
xgb_owner_track,train,10943,0.014683488798144467,0.051935506714896024,0.9991954090411388,0.051440849812354215,0.16818101582319087,0.9778303485795549,1,0.7581018518518519,1,3
xgb_road_specialist,test,756,0.027796629830822765,0.11432888833984955,0.8432744565217392,0.06634309568393501,0.2634619288163411,0.8309027777777778,0.15,0.3833333333333333,1,3
xgb_road_specialist,train,10943,0.02453280556751772,0.11064242274180575,0.825431298555712,0.06108234531560202,0.22065702723065628,0.8508135268416547,0.21875,0.3622685185185185,1,3
xgb_short_steep_specialist,test,756,0.027458403720224744,0.11684952565420703,0.8173913043478261,0.07076036483723856,0.24755272787230678,0.80625,0.05,0.2333333333333333,1,3
xgb_short_steep_specialist,train,10943,0.02265456030007311,0.10124380009000529,0.8461575812086136,0.061300294831887425,0.21976272678232406,0.8446569554225324,0.2777777777777778,0.3819444444444444,1,3
xgb_speedway_specialist,test,756,0.02434560592112398,0.09929327273400025,0.8622282608695652,0.0666651543817188,0.22917077556116022,0.8141283524904215,0.2,0.2333333333333333,1,3
xgb_speedway_specialist,train,10943,0.016556891520631008,0.07244159927063037,0.9135432960529746,0.05243495759111937,0.1827024908709323,0.9089968186511742,0.59375,0.6273148148148148,1,3
