metric,value
driver_race_rows,1369
races,36
qualifying_position_rmse,8.77853118586491
finish_position_rmse,10.643614742304758
finish_position_mae,8.531954505819991
win_log_loss,0.10663065742250706
win_brier,0.02513084337531258
top3_log_loss,0.22428883334191235
top3_brier,0.06466668312665064
points_rmse,11.590995998391268
win_pick_accuracy,0.08333333333333333
finish_pick_accuracy,0.2777777777777778
mean_top3_hits,0.9166666666666666
unit_win_pick_roi,-0.2263888888888889
chatter_proxy_coverage,0.8173849525200877
