season,round,event_id,race_id,driver_id,model,race_name,race_date,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_finish_position,target_win,target_top3,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,predicted_win_rank,predicted_top3_rank,probability_route,target_points,predicted_points,predicted_points_rank,points_route
2025,1,cup_2025_r01,5546,alex_bowman,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Alex Bowman,48,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,6,0,0,13.592703822039724,15,drafting_superspeedway,0.07783780762456238,0.0828330189585212,3,10,drafting_superspeedway,42,23.281904220581055,13,drafting_superspeedway
2025,1,cup_2025_r01,5546,kyle_busch,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Kyle Busch,8,richard_childress_racing,Richard Childress Racing,chevrolet,Chevrolet,41,34,0,0,13.613446257713704,16,drafting_superspeedway,0.0036845736157573,0.04505116596102843,34,16,drafting_superspeedway,4,24.381330490112305,10,drafting_superspeedway
2025,1,cup_2025_r01,5546,austin_cindric,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Austin Cindric,2,team_penske,Team Penske,ford,Ford,41,8,0,0,13.838631081215947,17,drafting_superspeedway,0.0078049752506029,0.28064159541666595,19,3,drafting_superspeedway,38,29.31645393371582,4,drafting_superspeedway
2025,1,cup_2025_r01,5546,daniel_suarez,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Daniel Suarez,99,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,41,13,0,0,14.44699038045869,18,drafting_superspeedway,0.00513815309602436,0.1130450002311733,31,9,drafting_superspeedway,29,22.766529083251953,15,drafting_superspeedway
2025,1,cup_2025_r01,5546,justin_haley,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Justin Haley,7,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,41,19,0,0,14.587254827071828,19,drafting_superspeedway,0.01973038873605634,0.02480537335286864,11,24,drafting_superspeedway,18,18.588247299194336,24,drafting_superspeedway
2025,1,cup_2025_r01,5546,chase_briscoe,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chase Briscoe,19,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,4,0,0,15.077632274723934,20,drafting_superspeedway,0.00521228474238232,0.03115365237292967,30,19,drafting_superspeedway,33,22.80668067932129,14,drafting_superspeedway
2025,1,cup_2025_r01,5546,michael_mcdowell,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Michael McDowell,71,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,41,11,0,0,15.148288280916466,21,drafting_superspeedway,0.00629308712280532,0.0055601901039213,28,37,drafting_superspeedway,27,22.318893432617188,17,drafting_superspeedway
2025,1,cup_2025_r01,5546,shane_van_gisbergen,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Shane van Gisbergen,88,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,41,33,0,0,15.436039050796651,22,drafting_superspeedway,0.03506107454506663,0.02616673088627092,8,23,drafting_superspeedway,4,8.112900733947754,41,drafting_superspeedway
2025,1,cup_2025_r01,5546,john_hunter_nemechek,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,John Hunter Nemechek,42,legacy_motor_club,Legacy Motor Club,toyota,Toyota,41,5,0,0,15.620277693170694,23,drafting_superspeedway,0.00434665076617463,0.00486154857259827,32,38,drafting_superspeedway,32,16.974048614501953,29,drafting_superspeedway
2025,1,cup_2025_r01,5546,aj_allmendinger,xgb_drafting_specialist,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,A.J. Allmendinger,16,kaulig_racing,Kaulig Racing,chevrolet,Chevrolet,41,41,0,0,15.641685182259216,24,drafting_superspeedway,0.00731478503245003,0.07985410319433559,21,11,drafting_superspeedway,1,10.956180572509766,37,drafting_superspeedway
