metric,prequalifying,postqualifying
dk_points_rmse,27.31498462272744,28.422363380696847
dk_points_mae,20.7963609620458,21.689106500678832
dk_rank_mae,10.885317750182615,10.37399561723886
mean_top6_hits,2.2777777777777777,2.5
