metric,prequalifying,postqualifying
dk_points_rmse,27.44559042079101,27.542402352101817
dk_points_mae,20.941956866699872,21.006531262608288
dk_rank_mae,10.856614246068455,10.19981498612396
mean_top6_hits,2.2280701754385963,2.526315789473684
