model,data_split,rows,races,share_rmse,share_mae,count_mae,leader_hit_rate,mean_top3_hits
recency_baseline,test,1369,36,0.08609006354468988,0.03686549273136426,9.950663499547812,0.25,0.8055555555555556
recency_baseline,validation,793,21,0.07894091474410456,0.03440870663380287,8.930043354876796,0.19047619047619047,0.8095238095238095
routed_drafting_no_owner,test,239,6,0.045235868580557816,0.027806062712457745,5.946542831026233,0.3333333333333333,1.1666666666666667
routed_drafting_no_owner,validation,157,4,0.058092139741949815,0.030991155129821434,7.1316811156586475,0.5,0.75
routed_drafting_owner_track,test,239,6,0.044055309708480754,0.027214838916683238,5.797193149530546,0.5,1.3333333333333333
routed_drafting_owner_track,validation,157,4,0.05915473031659199,0.031734475006856236,7.308299738101051,0.5,0.75
routed_drafting_recency,test,239,6,0.04675803437785439,0.028958876309295566,6.189170829774433,0.5,1.1666666666666667
routed_drafting_recency,validation,157,4,0.06441138666951164,0.031992719405443314,7.324803158563092,0,0.25
routed_road_no_owner,test,227,6,0.07532591337565825,0.03186765654864075,3.0682631159062175,0.6666666666666666,1.6666666666666667
routed_road_no_owner,validation,150,4,0.07897920017189268,0.031986394476560424,3.052919179843732,0.5,1.75
routed_road_owner_track,test,227,6,0.07769783187470226,0.03236922770441854,3.1218972807938306,0.6666666666666666,1.6666666666666667
routed_road_owner_track,validation,150,4,0.08331355192144342,0.0337033022222837,3.2357722445913444,0.5,1.75
routed_road_recency,test,227,6,0.09198542860583794,0.038013778041682766,3.6552829816158057,0.5,0.8333333333333334
routed_road_recency,validation,150,4,0.0882834061051935,0.03686422681462281,3.5233839288831006,0.5,0.5
routed_short_steep_no_owner,test,265,7,0.09100669774115669,0.03702064751801524,16.230633444635536,0.2857142857142857,1.2857142857142858
routed_short_steep_no_owner,validation,74,2,0.0944684285703711,0.03749446387076187,16.886052767400283,0.5,1
routed_short_steep_owner_track,test,265,7,0.08943816978960961,0.036624542821557055,16.016217904092446,0.42857142857142855,1
routed_short_steep_owner_track,validation,74,2,0.09679406134259447,0.03782195941915145,17.02489882573649,0.5,1
routed_short_steep_recency,test,265,7,0.09663122990322547,0.040074777863718276,17.50192661985253,0,0.2857142857142857
routed_short_steep_recency,validation,74,2,0.1043887077156685,0.04238843885682956,19.077755004097384,0,1
routed_speedway_no_owner,test,638,17,0.07823877755932321,0.03192881538092198,8.773323251666698,0.23529411764705882,1.588235294117647
routed_speedway_no_owner,validation,337,9,0.06332136633512536,0.02760106076911372,7.484957502781567,0.3333333333333333,1.5555555555555556
routed_speedway_owner_track,test,638,17,0.07900178651288975,0.031964201830054585,8.780787537669516,0.35294117647058826,1.5294117647058822
routed_speedway_owner_track,validation,337,9,0.06258914470614681,0.027057968174457683,7.298680814683665,0.2222222222222222,1.6666666666666667
routed_speedway_recency,test,638,17,0.09052815420416023,0.03808580620998229,10.463145315794916,0.17647058823529413,0.8823529411764706
routed_speedway_recency,validation,337,9,0.06919764997070937,0.031713936003668605,8.661045682296562,0.2222222222222222,1.3333333333333333
xgb_drafting_specialist,test,239,6,0.044055309708480754,0.027214838916683238,5.797193149530546,0.5,1.3333333333333333
xgb_drafting_specialist,validation,157,4,0.05915473031659199,0.031734475006856236,7.308299738101051,0.5,0.75
xgb_no_owner,test,1369,36,0.07519469118999984,0.031411464536644784,8.507916185337526,0.3611111111111111,1.4166666666666667
xgb_no_owner,validation,793,21,0.07215503516942579,0.02977058567391232,7.707382519846765,0.3333333333333333,1.4285714285714286
xgb_owner_track,test,1369,36,0.07544425970949137,0.03153960022973088,8.562865165086539,0.3888888888888889,1.5277777777777777
xgb_owner_track,validation,793,21,0.07172090573730089,0.03001350797576334,7.810561445606688,0.47619047619047616,1.4761904761904763
xgb_road_specialist,test,227,6,0.07769783187470226,0.03236922770441854,3.1218972807938306,0.6666666666666666,1.6666666666666667
xgb_road_specialist,validation,150,4,0.08331355192144342,0.0337033022222837,3.2357722445913444,0.5,1.75
xgb_short_steep_specialist,test,265,7,0.08943816978960961,0.036624542821557055,16.016217904092446,0.42857142857142855,1
xgb_short_steep_specialist,validation,74,2,0.09679406134259447,0.03782195941915145,17.02489882573649,0.5,1
xgb_speedway_specialist,test,638,17,0.07900178651288975,0.031964201830054585,8.780787537669516,0.35294117647058826,1.5294117647058822
xgb_speedway_specialist,validation,337,9,0.06258914470614681,0.027057968174457683,7.298680814683665,0.2222222222222222,1.6666666666666667
