season,round,event_id,race_id,driver_id,race_name,race_date,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_qualifying_position,predicted_qualifying_position,predicted_qualifying_rank,predicted_qualifying_speed_deficit_pct,qualifying_route,target_finish_position,target_win,target_top3,predicted_finish_score,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,win_probability_rank,top3_probability_rank,probability_route,target_points,target_stage_points,predicted_points,predicted_points_rank,points_route,actual_winner_odds_american,actual_winner_odds_decimal,actual_winner_market_probability,actual_winner_sportsbook,actual_winner_odds_as_of,actual_winner_odds_source,actual_winner_odds_quality,chatter_proxy_composite,chatter_proxy_points_nudge,chatter_proxy_finish_nudge,chatter_source_ids,chatter_coding_notes,chatter_signal_status,chatter_additive_applied,chatter_multiplicative_applied
2025,1,cup_2025_r01,5546,tyler_reddick,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Tyler Reddick,45,23xi_racing,23XI Racing,toyota,Toyota,41,11,14.310416241135156,11,1.0229020121975214,drafting_superspeedway,2,0,1,0.30796680645912955,13.284413654615877,11,drafting_superspeedway,0.04674592183567847,0.17027716955730393,6,5,drafting_superspeedway,38,0,24.891766195357658,10,drafting_superspeedway,,,,,,,,0.1762,0.705,-0.2644,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1
2025,1,cup_2025_r01,5546,denny_hamlin,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Denny Hamlin,11,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,8,14.364980994049208,12,1.132193240849522,drafting_superspeedway,24,0,0,0.32048944093485954,12.676957455602162,7,drafting_superspeedway,0.02126085211140229,0.05345443649712856,10,18,drafting_superspeedway,13,0,25.617898628091773,8,drafting_superspeedway,,,,,,,,0.1181,0.4725,-0.1772,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1
2025,1,cup_2025_r01,5546,christopher_bell,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Christopher Bell,20,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,20,14.730470507260874,13,1.0262784663124354,drafting_superspeedway,31,0,0,0.3464748794773642,11.503611019336542,5,drafting_superspeedway,0.05342941649863371,0.11808977284979368,5,10,drafting_superspeedway,12,0,26.80670983574928,7,drafting_superspeedway,,,,,,,,0.1181,0.4725,-0.1772,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1
2025,1,cup_2025_r01,5546,todd_gilliland,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Todd Gilliland,34,front_row_motorsports,Front Row Motorsports,ford,Ford,41,14,14.893656060333614,14,1.0665334883613855,drafting_superspeedway,27,0,0,0.2549466391998169,16.19598400634203,22,drafting_superspeedway,0.01095899661726268,0.04617844042198928,18,22,drafting_superspeedway,16,0,19.0050148525544,21,drafting_superspeedway,,,,,,,,,,,,,proxy_unaudited_not_applied,0,1
2025,1,cup_2025_r01,5546,ty_gibbs,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ty Gibbs,54,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,23,15.372330911578342,15,1.0215196314735682,drafting_superspeedway,16,0,0,0.2538736531948229,16.261067889993726,23,drafting_superspeedway,0.00356933440261907,0.03611630565965152,35,24,drafting_superspeedway,21,0,20.856102689352653,18,drafting_superspeedway,,,,,,,,0.0169,0.0675,-0.0253,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1
2025,1,cup_2025_r01,5546,bubba_wallace,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Bubba Wallace,23,23xi_racing,23XI Racing,toyota,Toyota,41,3,15.604401519804702,16,1.1121948334856302,drafting_superspeedway,29,0,0,0.3116628681615511,13.10215584265534,9,drafting_superspeedway,0.01085948613160422,0.12935965738606747,19,8,drafting_superspeedway,10,0,24.9280739602587,9,drafting_superspeedway,,,,,,,,0.1819,0.7275,-0.2728,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1
2025,1,cup_2025_r01,5546,chase_briscoe,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chase Briscoe,19,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,1,15.97394911851002,17,1.093312386004475,drafting_superspeedway,4,0,0,0.25890096100892646,15.95836849505789,18,drafting_superspeedway,0.01458119945125385,0.05931885287990263,14,16,drafting_superspeedway,33,0,21.673558632843893,16,drafting_superspeedway,,,,,,,,0.1181,0.4725,-0.1772,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1
2025,1,cup_2025_r01,5546,martin_truex_jr,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Martin Truex Jr.,56,tricon_garage,TRICON Garage,toyota,Toyota,41,39,16.247964935689645,18,2.8398857030554083,drafting_superspeedway,38,0,0,0.2581827758352614,16.001263711343615,20,drafting_superspeedway,0.00360657556789001,0.04823534413592727,34,20,drafting_superspeedway,1,0,21.301059218418203,17,drafting_superspeedway,,,,,,,,,,,,,proxy_unaudited_not_applied,0,1
2025,1,cup_2025_r01,5546,brad_keselowski,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Brad Keselowski,6,rfk_racing,RFK Racing,ford,Ford,41,34,16.58970344587661,19,1.029886737792042,drafting_superspeedway,26,0,0,0.29948757842365226,13.712173231654509,14,drafting_superspeedway,0.01221877516380967,0.13336822685546146,16,7,drafting_superspeedway,20,0,23.42405964239194,14,drafting_superspeedway,,,,,,,,0.1481,0.5925,-0.2222,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1
2025,1,cup_2025_r01,5546,chris_buescher,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chris Buescher,17,rfk_racing,RFK Racing,ford,Ford,41,6,16.823961777365113,20,1.0172189626379282,drafting_superspeedway,10,0,0,0.30062320782467344,13.654093787601523,13,drafting_superspeedway,0.02152816462112148,0.09570847461834874,9,13,drafting_superspeedway,32,0,23.62618058645656,13,drafting_superspeedway,,,,,,,,0.0169,0.0675,-0.0253,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1
