season,round,race_date,race_name,track_name,odds_as_of,sportsbook,matchup_id,projection_variant,source_url,offered_driver_id,offered_driver,opponent_driver_id,opponent,offered_odds_american,projected_finish,opponent_projected_finish,model_probability,offered_odds_decimal,quoted_implied_probability,market_no_vig_probability,model_fair_odds_decimal,model_fair_odds_american,model_edge,expected_roi,positive_ev,calibration_slope,calibration_unique_pairs,calibration_brier,calibration_accuracy,value_rank
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,blaney_vs_larson,base,https://sportsbook.draftkings.com/event/ryan-blaney-vs-kyle-larson/34423944,kyle_larson,Kyle Larson,ryan_blaney,Ryan Blaney,-120,8.308128810534443,7.682654556705454,0.4830301050776432,1.8333333333333335,0.5454545454545454,0.5101214574898786,2.0702643365039495,107.02643365039495,-0.02709135241223537,-0.11444480735765405,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,11
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,wallace_vs_bell,base,https://sportsbook.draftkings.com/event/bubba-wallace-vs-christopher-bell/34423059,christopher_bell,Christopher Bell,bubba_wallace,Bubba Wallace,-150,10.235944125641993,10.79632319197991,0.5152049337300542,1.6666666666666665,0.6000000000000001,0.5575221238938053,1.940975201382598,-106.27272626639633,-0.04231719016375113,-0.1413251104499098,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,12
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,keselowski_vs_hocevar,base,https://sportsbook.draftkings.com/event/brad-keselowski-vs-carson-hocevar/34423061,carson_hocevar,Carson Hocevar,brad_keselowski,Brad Keselowski,-185,11.060111616118926,12.716570420123428,0.5448382790060826,1.5405405405405406,0.6491228070175439,0.6040291767974991,1.8354070162328588,-119.70213088577448,-0.05919089779141651,-0.1606545431527916,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,13
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,logano_vs_briscoe,base,https://sportsbook.draftkings.com/event/joey-logano-vs-chase-briscoe/34423060,chase_briscoe,Chase Briscoe,joey_logano,Joey Logano,-165,10.678969950820063,11.332560710760129,0.5177321047029478,1.606060606060606,0.6226415094339623,0.5780254777070064,1.9315008494088974,-107.3536326493497,-0.06029337300405857,-0.16849086214375053,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,14
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,gilliland_vs_blaney,base,https://sportsbook.draftkings.com/event/todd-gilliland-vs-ryan-blaney/34423058,todd_gilliland,Todd Gilliland,ryan_blaney,Ryan Blaney,230,18.752229151042066,7.682654556705454,0.23115748378480022,3.3,0.30303030303030304,0.28169014084507044,4.326055049686239,332.6055049686239,-0.050532657060270214,-0.23718030351015928,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,15
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,hamlin_vs_reddick,base,https://sportsbook.draftkings.com/event/denny-hamlin-vs-tyler-reddick/34423943,tyler_reddick,Tyler Reddick,denny_hamlin,Denny Hamlin,-105,9.54700525227328,4.669023215449869,0.3706133818586429,1.9523809523809523,0.5121951219512195,0.47539370078740156,2.698229607859691,169.8229607859691,-0.10478031892875866,-0.27642149256169724,FALSE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,16
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,hamlin_vs_reddick,chatter,https://sportsbook.draftkings.com/event/denny-hamlin-vs-tyler-reddick/34423943,denny_hamlin,Denny Hamlin,tyler_reddick,Tyler Reddick,-130,3.1690232154498688,10.087005252273281,0.6794101299237736,1.7692307692307692,0.5652173913043479,0.5246062992125985,1.4718650134230336,-211.92501489901437,0.1548038307111751,0.20203330678821474,TRUE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,1
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,byron_vs_bell,chatter,https://sportsbook.draftkings.com/event/william-byron-vs-christopher-bell/34423945,christopher_bell,Christopher Bell,william_byron,William Byron,-110,8.735944125641993,11.212978512394889,0.5668285803831212,1.9090909090909092,0.5238095238095238,0.48987854251012153,1.7642017968185317,-130.8554892389845,0.0769500378729997,0.08212728982232242,TRUE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,2
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,keselowski_vs_hocevar,chatter,https://sportsbook.draftkings.com/event/brad-keselowski-vs-carson-hocevar/34423061,brad_keselowski,Brad Keselowski,carson_hocevar,Carson Hocevar,135,11.216570420123428,9.710111616118926,0.4592030925225373,2.35,0.425531914893617,0.3959708232025009,2.177685682617481,117.7685682617481,0.06323226932003645,0.07912726742796283,TRUE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,3
2026,22,2026-07-26,Brickyard 400 presented by PPG,Indianapolis Motor Speedway,2026-07-23,DraftKings,wallace_vs_bell,chatter,https://sportsbook.draftkings.com/event/bubba-wallace-vs-christopher-bell/34423059,bubba_wallace,Bubba Wallace,christopher_bell,Christopher Bell,110,9.29632319197991,8.735944125641993,0.48479506626994584,2.1,0.47619047619047616,0.4424778761061946,2.0627272626639632,106.27272626639632,0.04231719016375124,0.018069639166886198,TRUE,0.10856667722058558,39968,0.214396440629541,0.6580264211369096,4
