season,round,race_name,track_name,track_primary_family,track_cluster_id,driver_id,driver_name,owner_name,manufacturer,target_qualifying_position,predicted_qualifying_rank,predicted_position_score,training_races,target_finish_position,predicted_finish_position,predicted_finish_rank,finish_route,target_win,target_top3,win_probability,top3_probability,predicted_win_rank,predicted_top3_rank,probability_route,target_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,denny_hamlin,Denny Hamlin,Joe Gibbs Racing,Toyota,8,12,14.97674180108656,252,24,12.873280587027176,7,drafting_superspeedway,0,0,0.03609371696174204,0.11777860003609825,6,10,drafting_superspeedway,13,25.627050563669165,5,26,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,erik_jones,Erik Jones,Legacy Motor Club,Toyota,4,39,28.650799516095752,252,12,17.94347039395746,24,drafting_superspeedway,0,0,0.01494944524551174,0.02204338483754497,21,33,drafting_superspeedway,31,18.188951580891775,24,10,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,helio_castroneves,Helio Castroneves,Trackhouse Racing,Chevrolet,41,32,23.9774866104126,252,39,20.333810131181934,39,drafting_superspeedway,0,0,0.01069532897505785,0.02561600419231099,29,29,drafting_superspeedway,0,9.94530945826802,38,41,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,jimmie_johnson,Jimmie Johnson,Legacy Motor Club,Toyota,40,36,26.6481427344673,252,3,19.509277311936383,37,drafting_superspeedway,0,1,0.00700671419736424,0.01909819548558069,35,35,drafting_superspeedway,34,13.356824864474891,35,6,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,joey_logano,Joey Logano,Team Penske,Ford,10,1,9.146241999725802,252,35,10.992550451746425,3,drafting_superspeedway,0,0,0.13067784194077317,0.19828843222282916,1,3,drafting_superspeedway,15,25.149429813662067,7,23,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,john_hunter_nemechek,John Hunter Nemechek,Legacy Motor Club,Toyota,18,37,27.48676334535878,252,5,19.241934144860323,34,drafting_superspeedway,0,0,0.01010340005460597,0.01755117082719733,30,37,drafting_superspeedway,32,16.197299166664436,32,9,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,josh_berry,Josh Berry,Wood Brothers Racing,Ford,29,23,20.86140977728332,252,37,19.223736682479004,33,drafting_superspeedway,0,0,0.00827352281825893,0.03505412828654292,31,26,drafting_superspeedway,1,16.076581447504637,33,38,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,justin_allgaier,Justin Allgaier,JR Motorsports,Chevrolet,19,33,24.75158106306537,252,9,21.22218643098972,41,drafting_superspeedway,0,0,0.00739798017505506,0.01047098253868508,32,40,drafting_superspeedway,0,10.91052508354187,36,40,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,justin_haley,Justin Haley,Spire Motorsports,Chevrolet,35,35,26.182394894323053,252,19,17.016111009332572,22,drafting_superspeedway,0,0,0.00711863103793402,0.03021270230809972,33,27,drafting_superspeedway,18,18.526185207890585,23,19,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,kyle_busch,Kyle Busch,Richard Childress Racing,Chevrolet,21,14,15.6024727421334,252,34,14.668188544373091,11,drafting_superspeedway,0,0,0.01156449598250688,0.05368815420018134,26,17,drafting_superspeedway,4,22.531624453452935,15,33,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,kyle_larson,Kyle Larson,Hendrick Motorsports,Chevrolet,22,4,12.274705321647096,252,20,12.096092554499291,5,drafting_superspeedway,0,0,0.07869219200588953,0.1899794225361308,2,4,drafting_superspeedway,17,25.599110414794836,6,20,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,martin_truex_jr,Martin Truex Jr.,TRICON Garage,Toyota,39,20,18.40082262077875,252,38,19.33206053025362,35,drafting_superspeedway,0,0,0.0148610438266635,0.0466889995300531,22,22,drafting_superspeedway,1,18.56366183377465,22,36,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,michael_mcdowell,Michael McDowell,Spire Motorsports,Chevrolet,25,8,13.64930913955803,252,11,15.904309850116084,16,drafting_superspeedway,0,0,0.01855639721103415,0.04132680036353968,19,25,drafting_superspeedway,27,19.33688124129199,20,13,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,noah_gragson,Noah Gragson,Front Row Motorsports,Ford,32,22,20.070891761408433,252,28,18.594535091844847,31,drafting_superspeedway,0,0,0.00705868108517025,0.04167376801649401,34,24,drafting_superspeedway,9,17.14886792914436,28,30,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ricky_stenhouse_jr,Ricky Stenhouse Jr.,Hyak Motorsports,Chevrolet,31,34,24.855223782459447,252,18,16.347324062768283,19,drafting_superspeedway,0,0,0.03209862293708059,0.0494649483277778,12,20,drafting_superspeedway,26,16.4890129715192,31,14,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,riley_herbst,Riley Herbst,23XI Racing,Toyota,24,31,23.769728599540137,252,17,20.241220698952457,38,drafting_superspeedway,0,0,0.00520078416744835,0.0226149135491882,38,32,drafting_superspeedway,20,7.459604787826538,40,18,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ross_chastain,Ross Chastain,Trackhouse Racing,Chevrolet,9,18,17.636676951555394,252,40,14.79153825623036,12,drafting_superspeedway,0,0,0.02784879980823111,0.09429509433340594,13,13,drafting_superspeedway,1,23.493392082772154,11,35,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ryan_blaney,Ryan Blaney,Team Penske,Ford,16,7,13.35081367802171,252,7,10.984155663964955,2,drafting_superspeedway,0,0,0.07519308295015802,0.2157694331041298,3,2,drafting_superspeedway,48,27.975578185488722,2,1,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ryan_preece,Ryan Preece,RFK Racing,Ford,27,24,21.048334900246736,252,32,18.55221858445169,30,drafting_superspeedway,0,0,0.00585359771277955,0.02841326589761596,37,28,drafting_superspeedway,5,17.566609961772954,26,32,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,shane_van_gisbergen,Shane van Gisbergen,Trackhouse Racing,Chevrolet,26,25,21.290896012757692,252,33,18.218447475660977,27,drafting_superspeedway,0,0,0.01250458617588036,0.05358125114008127,24,18,drafting_superspeedway,4,5.014562249183655,41,34,drafting_superspeedway
