season,round,event_id,race_id,driver_id,race_name,race_date,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_qualifying_position,predicted_qualifying_position,predicted_qualifying_rank,predicted_qualifying_speed_deficit_pct,qualifying_route,target_finish_position,target_win,target_top3,predicted_finish_score,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,win_probability_rank,top3_probability_rank,probability_route,target_points,target_stage_points,predicted_points,predicted_points_rank,points_route,actual_winner_odds_american,actual_winner_odds_decimal,actual_winner_market_probability,actual_winner_sportsbook,actual_winner_odds_as_of,actual_winner_odds_source,actual_winner_odds_quality,chatter_proxy_composite,chatter_proxy_points_nudge,chatter_proxy_finish_nudge,chatter_source_ids,chatter_coding_notes,chatter_signal_status,chatter_additive_applied,chatter_multiplicative_applied,scheduled_laps,drv_laps_led_pct_ewm_h6,drv_cluster_laps_led_pct_ewm_h6,drv_family_laps_led_pct_ewm_h6,drv_fastest_lap_pct_ewm_h6,drv_cluster_fastest_lap_pct_ewm_h6,drv_family_fastest_lap_pct_ewm_h6,actual_start_position,actual_finish_position,actual_laps_led,actual_fastest_laps,raw_laps_led_share,raw_fastest_lap_share,projected_laps_led,projected_fastest_laps,projected_finish_points,projected_place_diff_prequal,projected_place_diff_postqual,projected_dk_points_prequal,projected_dk_points_postqual,actual_dk_finish_points,actual_dk_place_diff,actual_dk_points,actual_dk_rank,projected_dk_rank_prequal,projected_dk_rank_postqual
2025,1,cup_2025_r01,5546,joey_logano,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Joey Logano,22,team_penske,Team Penske,ford,Ford,41,10,9.934358836273653,1,0.9562301191969188,drafting_superspeedway,35,0,0,0.3663146526671795,10.681427335808634,2,drafting_superspeedway,0.13605256236488789,0.20430743790468023,3,4,drafting_superspeedway,15,0,28.828962246218214,2,drafting_superspeedway,,,,,,,,0.21560000000000001,0.8625,-0.3234,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.061568617216825376,0.12179360990541362,0.12179360990541362,0.026203367402750772,0.0149494613855222,0.0149494613855222,10,35,43,5,0.09168111356111949,0.020576414394136485,17.99642742273376,4.3983852803375525,42,-1,8,47.47838023183534,56.47838023183534,6,-25,-6,38,4,5
2025,1,cup_2025_r01,5546,kyle_larson,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Kyle Larson,5,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,22,10.088767946541523,2,1.0086370262785227,drafting_superspeedway,20,0,0,0.34891487642214336,11.399176150775848,4,drafting_superspeedway,0.01922991757024351,0.1267741489091393,11,9,drafting_superspeedway,17,0,26.872691728881748,6,drafting_superspeedway,,,,,,,,0.1181,0.4725,-0.1772,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.15260244114763288,0.017416880667878505,0.017416880667878505,0.06929224393224714,0.018045845247850332,0.018045845247850332,22,20,0,1,0.08500966090775569,0.043669044590048736,16.686863120807757,9.33463329675205,40,-2,18,46.372300763740355,66.37230076374036,23,2,25.45,20,6,1
2025,1,cup_2025_r01,5546,austin_cindric,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Austin Cindric,2,team_penske,Team Penske,ford,Ford,41,2,10.502340744269755,3,0.9583199921531946,drafting_superspeedway,8,0,0,0.31869335544409527,12.762346373612328,8,drafting_superspeedway,0.01902363572754754,0.16213445727736858,12,6,drafting_superspeedway,38,0,27.53283200879985,4,drafting_superspeedway,,,,,,,,0.1819,0.7275,-0.2728,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.028385075758459957,0.09949400651840086,0.09949400651840086,0.011203962321380862,0.014040883195766109,0.014040883195766109,2,8,59,0,0.06393954113843041,0.012622422758573485,12.550930795289217,2.6981512619287056,36,-5,-6,35.35190076669022,34.35190076669022,36,-6,44.75,10,14,16
2025,1,cup_2025_r01,5546,william_byron,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,William Byron,24,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,5,11.369898531237148,4,1.0160245451612742,drafting_superspeedway,1,1,1,0.392537127257768,9.68419837497534,1,drafting_superspeedway,0.16758584643539942,0.2806981808626585,1,1,drafting_superspeedway,41,0,31.101865257004345,1,drafting_superspeedway,1400,15,0.06666666666666667,DraftKings,2025-02-14,https://www.foxsports.com/stories/nascar/2025-daytona-500-odds,Near-race archived board,0.4125,1.65,-0.6187,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.032272467503660716,0.030672021546142913,0.030672021546142913,0.03526845686860188,0.021103304983349978,0.021103304983349978,5,1,10,1,0.03147224452490181,0.028185880925975928,6.1778041564181185,6.024974099155344,45,3,4,52.25568938372444,53.25568938372444,45,4,51.95,8,2,8
2025,1,cup_2025_r01,5546,ryan_blaney,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ryan Blaney,12,team_penske,Team Penske,ford,Ford,41,16,12.10387945484666,5,0.956687763659504,drafting_superspeedway,7,0,0,0.35805876421246785,11.016170664498626,3,drafting_superspeedway,0.16569820051962342,0.2481067027326725,2,2,drafting_superspeedway,48,0,28.78595301764204,3,drafting_superspeedway,,,,,,,,0.21560000000000001,0.8625,-0.3234,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.05300813726476954,0.0646121742757489,0.0646121742757489,0.05431665784738116,0.015847118603166302,0.015847118603166302,16,7,23,2,0.05881015577025922,0.035081888225273736,11.544064627155404,7.499054880060256,41,2,13,49.260590852815966,60.260590852815966,37,9,52.65,5,3,4
2025,1,cup_2025_r01,5546,chase_elliott,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chase Elliott,9,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,17,12.294475615634068,6,1.028596535651234,drafting_superspeedway,15,0,0,0.34524190500356644,11.556747193389633,6,drafting_superspeedway,0.0852937371317573,0.21898165132741387,4,3,drafting_superspeedway,30,0,27.47947656689755,5,drafting_superspeedway,,,,,,,,0.1762,0.705,-0.2644,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.06294248943144044,0.03988647748627472,0.03988647748627472,0.0429503854728879,0.017728749940959316,0.017728749940959316,17,15,2,2,0.05141448345885758,0.030339567706923608,10.092340549810592,6.485343143748323,38,0,11,43.441489552139394,54.441489552139394,28,2,31.4,16,8,6
2025,1,cup_2025_r01,5546,kyle_busch,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Kyle Busch,8,richard_childress_racing,Richard Childress Racing,chevrolet,Chevrolet,41,21,12.940366371207496,7,0.9886704418344768,drafting_superspeedway,34,0,0,0.30148673062647213,13.610095382505763,12,drafting_superspeedway,0.00760114454796761,0.05179608113497797,27,19,drafting_superspeedway,4,0,23.04760155001055,15,drafting_superspeedway,,,,,,,,0.0169,0.0675,-0.0253,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.02038907913436311,0.04433521942669173,0.04433521942669173,0.012659939374792734,0.019324353504783974,0.019324353504783974,21,34,0,3,0.03236214928052742,0.015992146439788354,6.352486877053763,3.41845863688534,31,-5,9,29.126428105861844,43.12642810586184,7,-13,-4.65,37,17,10
2025,1,cup_2025_r01,5546,alex_bowman,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Alex Bowman,48,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,38,13.71441131497194,8,1.0736401531381876,drafting_superspeedway,6,0,0,0.3106551022820641,13.15160074297295,10,drafting_superspeedway,0.02289645995548871,0.08835375036924417,8,14,drafting_superspeedway,42,0,24.70735944006268,11,drafting_superspeedway,,,,,,,,0.0506,0.2025,-0.0759,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.012094932350246437,0.013239682343256908,0.013239682343256908,0.018951305011245263,0.017669827133767028,0.017669827133767028,38,6,11,2,0.012667307346751672,0.018310566072506144,2.486512962730369,3.9140407432166247,34,-2,28,34.38294657513007,64.38294657513008,38,32,73.65,2,15,2
2025,1,cup_2025_r01,5546,michael_mcdowell,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Michael McDowell,71,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,41,25,13.746715860673143,9,1.1401961955709727,drafting_superspeedway,11,0,0,0.27366833422643355,15.101405213066606,16,drafting_superspeedway,0.01198714899380009,0.03355306744641429,17,25,drafting_superspeedway,27,0,20.102786812275877,19,drafting_superspeedway,,,,,,,,0.0825,0.33,-0.1237,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.030827503047984723,0.07575724452398594,0.07575724452398594,0.01995624624971662,0.02919549814398248,0.02919549814398248,25,11,4,12,0.05329237378598533,0.02457587219684955,10.460958639920051,5.2533037317173585,27,-7,9,24.979226339252826,40.979226339252826,32,14,52.4,6,22,13
2025,1,cup_2025_r01,5546,austin_dillon,DAYTONA 500,2025-02-16,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Austin Dillon,3,richard_childress_racing,Richard Childress Racing,chevrolet,Chevrolet,41,15,14.114272975909335,10,1.1363961699886591,drafting_superspeedway,23,0,0,0.25848298135356174,15.983319257992909,19,drafting_superspeedway,0.00976240293189505,0.02921266116559096,21,28,drafting_superspeedway,14,0,18.787865587592737,22,drafting_superspeedway,,,,,,,,0.0169,0.0675,-0.0253,2025_R01_DAYTONA_500_S01;2025_R01_DAYTONA_500_S04;2025_R01_DAYTONA_500_S05,Proxy coded from results/form/track-fit scaffold; review against pre-race article/odds before modeling.,proxy_unaudited_not_applied,0,1,200,0.0024250959905140384,0.004885998852762317,0.004885998852762317,0.006636518375825427,0.017146369743900044,0.017146369743900044,15,23,0,2,0.003655547421638178,0.011891444059862736,0.7175610254779032,2.541898287670671,24,-9,-4,16.323244485821277,21.323244485821277,19,-8,11.9,27,27,23
