model,data_split,rows,points_rmse,points_mae,points_rank_mae
recency_baseline,test,756,12.996256159261621,9.782122112770491,7.9603174603174605
recency_baseline,train,10943,11.48084066618844,8.610006946449912,6.832678424563648
routed_consensus,test,756,12.019440300704302,9.17591027180705,7.383597883597884
routed_consensus,train,10943,9.613148585292349,7.316588592385067,5.535045234396418
xgb_drafting_specialist,test,756,13.801315839791584,10.692561841594479,8.727513227513228
xgb_drafting_specialist,train,10943,12.102533954909978,9.344894922041489,7.032440829754181
xgb_no_owner,test,756,11.908176362328874,9.124158317942626,7.2592592592592595
xgb_no_owner,train,10943,9.446446475806665,7.170102475575111,5.383898382527644
xgb_owner_track,test,756,11.9653827578914,9.174541553649952,7.373015873015873
xgb_owner_track,train,10943,9.600470662372194,7.299275263234834,5.5370556520149865
xgb_road_specialist,test,756,12.216807249376103,9.376983075545578,7.497354497354498
xgb_road_specialist,train,10943,10.851254669544497,8.266017124868393,6.334643150872704
xgb_short_steep_specialist,test,756,12.57006759432604,9.52614243314774,7.743386243386244
xgb_short_steep_specialist,train,10943,10.748121052634973,7.971238504476858,6.183679064241981
xgb_speedway_specialist,test,756,12.229011379416063,9.327708234626149,7.497354497354498
xgb_speedway_specialist,train,10943,10.249439557558505,7.720845883307575,5.963446952389655
