season,round,race_id,race_date,race_name,track_name,driver_id,driver_id_api,driver_name,car_number_api,manufacturer_api,sponsor,owner_name_api,owner_id_api,qualifying_order_api,qualifying_position_api,qualifying_speed_api,start_position_api,finish_position_api,laps_completed_api,points_api,playoff_points_api,stage_points_api_total,stage1_position_api,stage2_position_api,stage3_position_api,stages_with_points,practice_best_speed,practice_median_speed,practice_total_laps,practice_sessions,qualifying_best_position,qualifying_best_speed,qualifying_best_lap_time,qualifying_attempts,timed_laps,fastest_lap_time,fastest_lap_speed,median_lap_speed,average_running_position,median_running_position,pit_stop_count,median_pit_stop_duration,fastest_pit_stop_duration,pit_position_differential,track_type,restrictor_plate,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,playoff_round,has_qualifying,start_to_finish_delta_api,passing_differential_api,caution_lap_rate
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,joey_logano,3859,Joey Logano,22,Ford,Shell Pennzoil,Team Penske,2593,0,0,0,10,8,500,42,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,2,2,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,kyle_larson,4030,Kyle Larson,42,Chevrolet,Clover,Chip Ganassi Racing,1683,0,0,0,14,9,500,37,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,5,5,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,ryan_newman,2394,Ryan Newman,6,Ford,Blue Bird,Roush Fenway Racing,2803,0,0,0,35,10,500,27,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,25,25,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,david_ragan,2674,David Ragan,38,Ford,MDS Transport,Front Row Motorsports,2485,0,0,0,17,11,500,26,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,6,6,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,chris_buescher,3989,Chris Buescher,37,Chevrolet,Clorox,JTG Daugherty Racing,2912,0,0,0,20,12,500,25,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,8,8,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,bubba_wallace,4025,Bubba Wallace,43,Chevrolet,Victory Junction,Richard Petty Motorsports,1690,0,0,0,26,13,500,24,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,13,13,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,kyle_busch,454,Kyle Busch,18,Toyota,M&M's Halloween,Joe Gibbs Racing,1524,0,0,0,13,14,500,29,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-1,-1,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,ricky_stenhouse_jr,3888,Ricky Stenhouse Jr.,17,Ford,Fifth Third Bank,Roush Fenway Racing,1513,0,0,0,16,15,500,22,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,1,1,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,matt_dibenedetto,3916,Matt DiBenedetto,95,Toyota,Toyota Express Maintenance,Leavine Family Racing,2736,0,0,0,12,16,500,21,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-4,-4,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,daniel_hemric,4093,Daniel Hemric,8,Chevrolet,,Richard Childress Racing,2983,0,0,0,18,17,500,20,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,1,1,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,corey_lajoie,4096,Corey Lajoie,32,Ford,CorvetteParts.net,GO FAS Racing,2688,0,0,0,36,18,500,19,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,18,18,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,ryan_preece,4070,Ryan Preece,47,Chevrolet,Kroger,JTG Daugherty Racing,2377,0,0,0,21,19,500,18,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,2,2,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,erik_jones,4059,Erik Jones,20,Toyota,Craftsman,Joe Gibbs Racing,1550,0,0,0,8,20,499,19,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-12,-12,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,paul_menard,2225,Paul Menard,21,Ford,Quick Lane Tire & Auto Center,Wood Brothers Racing,1560,0,0,0,28,21,499,16,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,7,7,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,austin_dillon,3873,Austin Dillon,3,Chevrolet,American Ethanol,Richard Childress Racing,2765,0,0,0,23,22,499,15,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,1,1,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,michael_mcdowell,3832,Michael McDowell,34,Ford,A&W All American Foods,Front Row Motorsports,1648,0,0,0,5,23,499,14,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,-18,-18,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,ty_dillon,4013,Ty Dillon,13,Chevrolet,GEICO,Germain Racing,2482,0,0,0,27,24,498,13,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,3,3,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,matt_crafton,694,Matt Crafton,36,Ford,Surface Sunscreen / Tunity,Front Row Motorsports,3004,0,0,0,29,25,495,0,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,4,4,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,landon_cassill,3808,Landon Cassill,00,Chevrolet,Sea Deck/Units,StarCom Racing,2944,0,0,0,30,26,495,0,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,4,4,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,bj_mcleod,3973,BJ McLeod,51,Chevrolet,Jacob Companies,Petty Ware Racing,1430,0,0,0,38,27,494,0,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,11,11,0.138
2019,33,4807,2019-10-27,First Data 500,Martinsville Speedway,jj_yeley,3669,JJ Yeley,53,Chevrolet,GOTTA KILL IT TO HEAL IT,Rick Ware Racing,3029,0,0,0,32,28,494,0,0,,,,,,,,,,,,,,,,,,,,,,,,short track,FALSE,263,263,500,500,130,130,240,38,3,3,11,69,75.448,3:29:09,0.373,,,4,4,0.138
