season,round,driver_id,event_id,race_id,race_name,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_qualifying_position,target_qualifying_speed_deficit_pct,predicted_qualifying_position,predicted_qualifying_rank,qualifying_route,target_finish_position,target_win,target_top3,predicted_finish_score,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,win_probability_rank,top3_probability_rank,probability_route,target_points,target_stage_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,1,brad_keselowski,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Brad Keselowski,6,rfk_racing,RFK Racing,ford,Ford,41,34,,17.783277874434958,19,drafting_superspeedway,26,0,0,0.2717813949305149,15.208288201186242,14,drafting_superspeedway,0.01492498945903125,0.05874687765905329,18,16,drafting_superspeedway,20,0,22.182896865444917,14,17,drafting_superspeedway
2025,1,ricky_stenhouse_jr,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ricky Stenhouse Jr.,47,hyak_motorsports,Hyak Motorsports,chevrolet,Chevrolet,41,31,,23.899426396290018,30,drafting_superspeedway,18,0,0,0.26711285737803725,15.47599334176742,15,drafting_superspeedway,0.03704809054120587,0.02878444597153183,7,24,drafting_superspeedway,26,0,16.441790261863442,30,14,drafting_superspeedway
2025,1,austin_cindric,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Austin Cindric,2,team_penske,Team Penske,ford,Ford,41,2,,11.638571332229043,3,drafting_superspeedway,8,0,0,0.2583154134184338,15.993332963432197,16,drafting_superspeedway,0.01878663242087518,0.11689228961684364,15,9,drafting_superspeedway,38,0,24.84554467817241,7,4,drafting_superspeedway
2025,1,daniel_suarez,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Daniel Suarez,99,trackhouse_racing,Trackhouse Racing,chevrolet,Chevrolet,41,36,,21.56822636270016,25,drafting_superspeedway,13,0,0,0.25800634690859803,16.011818953155338,17,drafting_superspeedway,0.03155414729806395,0.12286989489495216,9,8,drafting_superspeedway,29,0,18.82608982995093,19,12,drafting_superspeedway
2025,1,chase_briscoe,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chase Briscoe,19,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,1,0,16.50585419739796,17,drafting_superspeedway,4,0,0,0.25616052123632055,16.122667815983082,18,drafting_superspeedway,0.01031232071379425,0.04425941534277907,23,18,drafting_superspeedway,33,0,21.65909511279384,16,7,drafting_superspeedway
2025,1,todd_gilliland,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Todd Gilliland,34,front_row_motorsports,Front Row Motorsports,ford,Ford,41,14,,14.69324984275854,12,drafting_superspeedway,27,0,0,0.24990671332653736,16.503968852174893,19,drafting_superspeedway,0.03109475324891006,0.03755775851740063,10,20,drafting_superspeedway,16,0,19.700766042739943,17,21,drafting_superspeedway
2025,1,aj_allmendinger,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,A.J. Allmendinger,16,kaulig_racing,Kaulig Racing,chevrolet,Chevrolet,41,13,,21.78734671932081,27,drafting_superspeedway,41,0,0,0.2495858412286472,16.52377416530615,20,drafting_superspeedway,0.00781540553512099,0.22940817830370663,27,5,drafting_superspeedway,1,0,7.575267583562027,39,39,drafting_superspeedway
2025,1,michael_mcdowell,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Michael McDowell,71,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,41,25,,13.438422804185103,7,drafting_superspeedway,11,0,0,0.2474032226608437,16.659124918828756,21,drafting_superspeedway,0.00497033808652156,0.02497592637042109,33,27,drafting_superspeedway,27,0,17.87725618788623,22,13,drafting_superspeedway
2025,1,justin_haley,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Justin Haley,7,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,41,35,,25.818025215825735,35,drafting_superspeedway,19,0,0,0.23764005249013057,17.278269505504365,22,drafting_superspeedway,0.0126690760637708,0.02578338712406473,21,25,drafting_superspeedway,18,0,18.402115707921094,21,19,drafting_superspeedway
2025,1,austin_dillon,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Austin Dillon,3,richard_childress_racing,Richard Childress Racing,chevrolet,Chevrolet,41,15,,16.257857418048008,16,drafting_superspeedway,23,0,0,0.23565777304724916,17.406761447085906,23,drafting_superspeedway,0.00994906315512677,0.0066606495251971,24,37,drafting_superspeedway,14,0,18.72945580136837,20,25,drafting_superspeedway
2025,1,martin_truex_jr,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Martin Truex Jr.,56,tricon_garage,TRICON Garage,toyota,Toyota,41,39,,16.71154411354609,18,drafting_superspeedway,38,0,0,0.2319910763304091,17.646961587980037,24,drafting_superspeedway,0.00243692678476674,0.01303919313714369,38,30,drafting_superspeedway,1,0,16.53907739735802,29,37,drafting_superspeedway
2025,1,erik_jones,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Erik Jones,43,legacy_motor_club,Legacy Motor Club,toyota,Toyota,41,4,,27.58026309336626,38,drafting_superspeedway,12,0,0,0.2316535246186749,17.669240047600244,25,drafting_superspeedway,0.01321812096055556,0.00912171893387419,20,35,drafting_superspeedway,31,0,16.975337975392506,27,10,drafting_superspeedway
2025,1,corey_lajoie,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Corey LaJoie,01,rick_ware_racing,Rick Ware Racing,ford,Ford,41,12,,28.844795135670083,40,drafting_superspeedway,22,0,0,0.22571636487716223,18.06572359601771,26,drafting_superspeedway,0.00432676083861069,0.02571404060087307,34,26,drafting_superspeedway,15,0,17.192798641779547,25,24,drafting_superspeedway
2025,1,ty_gibbs,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ty Gibbs,54,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,23,,15.281140430392426,14,drafting_superspeedway,16,0,0,0.22184060611478296,18.32933395223268,27,drafting_superspeedway,0.00966650316837351,0.04261762218862288,25,19,drafting_superspeedway,21,0,19.090041287985464,18,16,drafting_superspeedway
2025,1,ty_dillon,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ty Dillon,10,kaulig_racing,Kaulig Racing,chevrolet,Chevrolet,41,7,,28.555778520220315,39,drafting_superspeedway,14,0,0,0.22021239390253933,18.44122124595992,28,drafting_superspeedway,0.00501142435295882,0.00309187841496902,32,40,drafting_superspeedway,23,0,9.434441714178607,38,15,drafting_superspeedway
2025,1,carson_hocevar,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Carson Hocevar,77,spire_motorsports,Spire Motorsports,chevrolet,Chevrolet,41,33,,24.024891601730076,32,drafting_superspeedway,30,0,0,0.21937118714814377,18.49929451352327,29,drafting_superspeedway,0.00115843117000026,0.00797962657661479,40,36,drafting_superspeedway,7,0,17.505037249768144,23,31,drafting_superspeedway
2025,1,noah_gragson,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Noah Gragson,4,front_row_motorsports,Front Row Motorsports,ford,Ford,41,32,,20.13501472436009,22,drafting_superspeedway,28,0,0,0.21809915528211293,18.58745762102925,30,drafting_superspeedway,0.00422075838604201,0.06619283342146509,35,14,drafting_superspeedway,9,0,16.289814937277292,31,30,drafting_superspeedway
