season,round,race_date,race_name,driver_name,driver_id,odds_american,odds_decimal,implied_probability,sportsbook,odds_as_of,source_url,market_role,safe_as_model_feature
2026,22,2026-07-26,Brickyard 400 presented by PPG,Chris Buescher,chris_buescher,550,6.5,0.15384615384615385,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Christopher Bell,christopher_bell,300,4,0.25,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Cody Ware,cody_ware,11000,111,0.009009009009009009,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Cole Custer,cole_custer,11000,111,0.009009009009009009,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Connor Zilisch,connor_zilisch,3500,36,0.027777777777777776,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Corey Heim,corey_heim,1200,13,0.07692307692307693,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Daniel Dye,daniel_dye,13000,131,0.007633587786259542,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Daniel Suarez,daniel_suarez,2200,23,0.043478260869565216,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Denny Hamlin,denny_hamlin,135,2.35,0.425531914893617,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Erik Jones,erik_jones,1000,11,0.09090909090909091,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Joey Logano,joey_logano,450,5.5,0.18181818181818182,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,John Hunter Nemechek,john_hunter_nemechek,1800,19,0.05263157894736842,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Josh Berry,josh_berry,3500,36,0.027777777777777776,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Kyle Larson,kyle_larson,210,3.1,0.3225806451612903,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Michael McDowell,michael_mcdowell,4500,46,0.021739130434782608,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Noah Gragson,noah_gragson,7000,71,0.014084507042253521,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Ricky Stenhouse Jr.,ricky_stenhouse_jr,8000,81,0.012345679012345678,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Riley Herbst,riley_herbst,3000,31,0.03225806451612903,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Ross Chastain,ross_chastain,2000,21,0.047619047619047616,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Ryan Blaney,ryan_blaney,210,3.1,0.3225806451612903,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Ryan Preece,ryan_preece,2200,23,0.043478260869565216,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Shane Van Gisbergen,shane_van_gisbergen,1500,16,0.0625,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Todd Gilliland,todd_gilliland,5500,56,0.017857142857142856,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Ty Dillon,ty_dillon,11000,111,0.009009009009009009,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Ty Gibbs,ty_gibbs,550,6.5,0.15384615384615385,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Tyler Reddick,tyler_reddick,165,2.65,0.37735849056603776,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,William Byron,william_byron,265,3.65,0.273972602739726,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
2026,22,2026-07-26,Brickyard 400 presented by PPG,Zane Smith,zane_smith,5000,51,0.0196078431372549,DraftKings,2026-07-23,,production_pre_race_complete_top3_board,TRUE
