season,round,race_name,track_name,track_primary_family,track_cluster_id,driver_id,driver_name,owner_name,manufacturer,target_qualifying_position,predicted_qualifying_rank,predicted_position_score,rolling_train_races,target_finish_position,predicted_finish_position,predicted_finish_rank,finish_route,target_win,target_top3,win_probability,top3_probability,predicted_win_rank,predicted_top3_rank,probability_route,target_points,predicted_points,predicted_points_rank,actual_points_rank,points_route
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,denny_hamlin,Denny Hamlin,Joe Gibbs Racing,Toyota,8,13,14.891590843979015,252,24,12.916454035002245,6,drafting_superspeedway,0,0,0.01144462877604038,0.03910780986548946,18,20,drafting_superspeedway,13,25.176887008523902,9,26,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,erik_jones,Erik Jones,Legacy Motor Club,Toyota,4,38,28.09287696207964,252,12,15.292121013338964,15,drafting_superspeedway,0,0,0.00539168538088116,0.00972420335662672,31,36,drafting_superspeedway,31,17.70980796135442,24,10,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,helio_castroneves,Helio Castroneves,Trackhouse Racing,Chevrolet,41,32,23.955056476593015,252,39,19.97649672261031,38,drafting_superspeedway,0,0,0.01437245312367764,0.01954584893262539,15,30,drafting_superspeedway,0,9.23108871985707,36,40,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,jimmie_johnson,Jimmie Johnson,Legacy Motor Club,Toyota,40,36,25.905426994263443,252,3,18.299176852320414,32,drafting_superspeedway,0,1,0.01471488843182856,0.03246149014985793,14,23,drafting_superspeedway,34,13.315715111819864,34,6,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,joey_logano,Joey Logano,Team Penske,Ford,10,2,9.714469719986422,252,35,13.053928655762032,8,drafting_superspeedway,0,0,0.17704018369595,0.16772079575638693,1,5,drafting_superspeedway,15,27.749509350100055,3,23,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,john_hunter_nemechek,John Hunter Nemechek,Legacy Motor Club,Toyota,18,37,27.24441352999013,252,5,17.310953115719926,26,drafting_superspeedway,0,0,0.00454196447746351,0.00423137599914399,34,39,drafting_superspeedway,32,15.913418742164923,31,9,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,josh_berry,Josh Berry,Wood Brothers Racing,Ford,29,22,19.996882933258664,252,37,18.441125873092517,33,drafting_superspeedway,0,0,0.02055532321507395,0.0170653567374259,9,32,drafting_superspeedway,1,15.601894681833862,33,38,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,justin_allgaier,Justin Allgaier,JR Motorsports,Chevrolet,19,34,24.282389685816916,252,9,21.080806399994025,41,drafting_superspeedway,0,0,0.00758913651780684,0.00416767676020728,26,40,drafting_superspeedway,0,8.663224267959595,37,41,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,justin_haley,Justin Haley,Spire Motorsports,Chevrolet,35,35,25.422161968908014,252,19,17.425195960506286,28,drafting_superspeedway,0,0,0.00781149589256116,0.03440242033561452,25,22,drafting_superspeedway,18,17.743264179753375,23,19,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,kyle_busch,Kyle Busch,Richard Childress Racing,Chevrolet,21,10,14.241174657874367,252,34,16.284933822590165,22,drafting_superspeedway,0,0,0.00605700168208109,0.06034923475222056,27,16,drafting_superspeedway,4,21.74193968096148,16,33,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,kyle_larson,Kyle Larson,Hendrick Motorsports,Chevrolet,22,1,9.55386275130532,252,20,11.447276559588534,3,drafting_superspeedway,0,0,0.02263019936072582,0.08913951204403667,8,12,drafting_superspeedway,17,26.98570718984977,4,20,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,martin_truex_jr,Martin Truex Jr.,TRICON Garage,Toyota,39,19,17.15301273384638,252,38,17.921581043390855,29,drafting_superspeedway,0,0,0.00194577835694366,0.01717933594214658,38,31,drafting_superspeedway,1,18.214430686008537,21,36,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,michael_mcdowell,Michael McDowell,Spire Motorsports,Chevrolet,25,5,12.369004040070726,252,11,15.691266084425347,18,drafting_superspeedway,0,0,0.01139550927124516,0.0455282167975024,19,17,drafting_superspeedway,27,19.78691900679492,19,13,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,noah_gragson,Noah Gragson,Front Row Motorsports,Ford,32,24,20.31087722741185,252,28,18.93837460997465,35,drafting_superspeedway,0,0,0.00589292790550674,0.08498214676746683,29,13,drafting_superspeedway,9,16.936467921896437,26,30,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ricky_stenhouse_jr,Ricky Stenhouse Jr.,Hyak Motorsports,Chevrolet,31,27,21.366666443744847,252,18,15.7964630580549,21,drafting_superspeedway,0,0,0.01065111513114068,0.01580284687565618,22,33,drafting_superspeedway,26,16.001905408500406,30,14,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,riley_herbst,Riley Herbst,23XI Racing,Toyota,24,31,23.54178355788364,252,17,20.31396206594407,40,drafting_superspeedway,0,0,0.00374549085605479,0.03593940200681416,36,21,drafting_superspeedway,20,6.949381613731385,39,18,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ross_chastain,Ross Chastain,Trackhouse Racing,Chevrolet,9,21,17.462132712511206,252,40,13.946625603946025,14,drafting_superspeedway,0,0,0.01488109623173313,0.07751370477449533,13,14,drafting_superspeedway,1,24.307608696541685,11,35,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ryan_blaney,Ryan Blaney,Team Penske,Ford,16,6,12.377952817197125,252,7,11.614353140697094,4,drafting_superspeedway,0,0,0.13590679822284912,0.3079096895116723,2,3,drafting_superspeedway,48,28.030055495669384,2,1,drafting_superspeedway
2025,1,DAYTONA 500,Daytona International Speedway,drafting_superspeedway,cluster_1,ryan_preece,Ryan Preece,RFK Racing,Ford,27,25,20.363545528756255,252,32,18.199745864094837,30,drafting_superspeedway,0,0,0.00454911562576148,0.02356666643215685,33,26,drafting_superspeedway,5,17.648983580852544,25,32,drafting_superspeedway
