season,round,race_name,driver_id,driver_name,car_number,qualifying_position,qualifying_speed,start_position,source,as_of,notes
2026,21,Window World 450,alex_bowman,Alex Bowman,48,,,25,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,cody_ware,Cody Ware,51,,,36,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,ty_gibbs,Ty Gibbs,54,,,2,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,ryan_preece,Ryan Preece,60,,,21,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,chad_finchum,Chad Finchum,66,,,37,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,michael_mcdowell,Michael McDowell,71,,,16,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,carson_hocevar,Carson Hocevar,77,,,4,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,connor_zilisch,Connor Zilisch,88,,,32,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,21,Window World 450,shane_van_gisbergen,Shane van Gisbergen,97,,,8,NASCAR Statistics official starting lineup via Jayski,2026-07-18 17:06 ET,Qualifying canceled due to weather; starting lineup set by NASCAR metric
2026,22,Brickyard 400,ross_chastain,Ross Chastain,1,,,,,,
2026,22,Brickyard 400,austin_cindric,Austin Cindric,2,,,,,,
2026,22,Brickyard 400,austin_dillon,Austin Dillon,3,,,,,,
2026,22,Brickyard 400,noah_gragson,Noah Gragson,4,,,,,,
2026,22,Brickyard 400,kyle_larson,Kyle Larson,5,,,,,,
2026,22,Brickyard 400,brad_keselowski,Brad Keselowski,6,,,,,,
2026,22,Brickyard 400,daniel_suarez,Daniel Suarez,7,,,,,,
2026,22,Brickyard 400,chase_elliott,Chase Elliott,9,,,,,,
2026,22,Brickyard 400,ty_dillon,Ty Dillon,10,,,,,,
2026,22,Brickyard 400,denny_hamlin,Denny Hamlin,11,,,,,,
2026,22,Brickyard 400,ryan_blaney,Ryan Blaney,12,,,,,,
2026,22,Brickyard 400,aj_allmendinger,A.J. Allmendinger,16,,,,,,
2026,22,Brickyard 400,chris_buescher,Chris Buescher,17,,,,,,
2026,22,Brickyard 400,chase_briscoe,Chase Briscoe,19,,,,,,
